순위,관광지ID,업소명,분류
91,5abd935f9b4653331f8118e8e9e4e009,모아냉면,한식
92,01192407f6084dfc8693941a1b94b601,강릉해변메밀막국수광탄점,한식
93,f79e99e78f8ac4ad4e24a31feb5561a9,나인블럭프로방스점,카페/찻집
94,39218b1c1b62676b65bbedb7effdea3d,최고야손해물짬뽕[중식],외국식
95,eb0e176527018ed1872b057fc5a0ac42,청종나주곰탕파주본점,한식
96,e6d011051a1014fd263c3b639797c9c7,출렁다리쌈밥마장호수본점,한식
97,3d1df04f88b339b0d191d69898768697,가나안덕통일동산점,전문음식
98,7f0df61d2c520a6df91aab746a749fe1,쉼골전통된장,한식
99,7a7b99786e1481a0e4a8148e9e0de5c1,은아네한우소고기국밥,한식
100,dc3ba5513d3e0b53590e0de6ecb47781,꼿그이,전문음식
