소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.8
60대,6.3,3.7
50대,14.9,9.0
40대,16.8,9.4
30대,15.6,9.0
20대,7.9,4.9
10대,0.1,0.1
