업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,144,72,100.0,14375,11237,27.9
레저스포츠,153,89,71.9,14375,11237,27.9
문화관광,1358,956,42.1,14375,11237,27.9
쇼핑,1628,1570,3.7,14375,11237,27.9
숙박,506,460,10.0,14375,11237,27.9
역사관광,110,39,182.1,14375,11237,27.9
음식,10446,8038,30.0,14375,11237,27.9
자연관광,26,10,160.0,14375,11237,27.9
체험관광,4,3,33.3,14375,11237,27.9
