유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,44.5,12.7
음식,외국식,44.5,9.3
음식,음식점기타,44.5,0.3
음식,전문음식,44.5,17.7
음식,카페/찻집,44.5,29.5
음식,한식,44.5,30.6
쇼핑,시장,21.1,2.4
쇼핑,쇼핑몰,21.1,95.0
쇼핑,기타쇼핑시설,21.1,2.6
기타관광,기타관광,14.0,100.0
문화관광,테마공원,10.4,7.1
문화관광,전시시설,10.4,5.2
문화관광,복합관광시설,10.4,8.3
문화관광,레저스포츠시설,10.4,3.4
문화관광,랜드마크관광,10.4,3.9
문화관광,도시공원,10.4,46.8
문화관광,기타문화관광지,10.4,4.8
문화관광,공연시설,10.4,20.3
레저스포츠,육상레저스포츠,3.5,88.9
레저스포츠,수상레저스포츠,3.5,8.5
레저스포츠,기타레저스포츠,3.5,2.6
숙박,캠핑,2.7,41.8
숙박,호텔,2.7,33.9
숙박,펜션/민박,2.7,0.1
숙박,콘도미니엄,2.7,1.5
숙박,모텔,2.7,21.9
숙박,기타숙박,2.7,0.8
역사관광,역사유적지,1.6,31.7
역사관광,종교성지,1.6,67.9
역사관광,역사유물,1.6,0.4
자연관광,자연경관(산),1.4,60.5
자연관광,자연경관(하천/해양),1.4,10.0
자연관광,자연공원,1.4,29.5
체험관광,농/산/어촌체험,0.7,96.6
체험관광,웰니스관광,0.7,3.4
