업종중분류명,업체명,방문자수,순위
쇼핑,롯데프리미엄아울렛/파주점,240.0,1
쇼핑,신세계프리미엄아울렛/파주점,228.0,2
쇼핑,이마트/파주운정점,89.0,3
쇼핑,홈플러스/파주운정점,39.0,4
쇼핑,운정가구타운,23.0,5
쇼핑,이마트/파주점,14.0,6
쇼핑,홈플러스/파주문산점,10.0,7
쇼핑,금촌전통시장,4.0,8
쇼핑,대하마트,3.0,9
쇼핑,이채쇼핑몰,2.0,10
음식,스타벅스/파주야당DT점,26.0,1
음식,앤드테라스/파주점,20.0,2
음식,더티트렁크,15.0,3
음식,훈장골/파주점,12.0,4
음식,번트엄버,11.0,5
음식,내사랑동까스,11.0,6
음식,평양손만두/파주운정점,9.0,7
음식,두경오리농장,9.0,8
음식,버터킹빵공장,8.0,9
음식,라플란드,7.0,10
문화관광,운정호수공원,28.0,1
문화관광,평화누리,17.0,2
문화관광,자유로자동차극장,12.0,3
문화관광,퍼스트가든,11.0,4
문화관광,메가박스/파주운정,6.0,5
문화관광,CGV/파주야당,4.0,6
문화관광,메가박스/파주출판도시,3.0,7
문화관광,운정건강공원,3.0,8
문화관광,롯데시네마/파주운정,3.0,9
문화관광,CGV/파주문산,2.0,10
