행정동명,거주인구,방문인구,근무인구,생활인구
광탄면,779.5942261904762,835.945238095238,959.4983928571429,2575.037857142858
교하동,1178.9464285714287,6130.212857142858,3340.059702380952,10649.218988095237
금촌1동,9610.322797619045,7545.405833333333,4182.029107142858,21337.757738095243
금촌2동,14963.830297619046,4390.942261904763,3887.63744047619,23242.41
금촌3동,10170.08625,2415.1271428571426,2826.7358333333336,15411.949226190474
문산읍,19104.28369047619,3923.593214285714,6024.334345238095,29052.211249999997
법원읍,1392.5989880952384,674.7722619047616,799.5442857142858,2866.915535714286
운정1동,22479.247678571428,14058.63511904762,6821.405178571429,43359.287976190455
운정2동,23879.424166666664,12088.679107142858,5843.37625,41811.4795238095
운정3동,27784.400654761906,19006.08113095238,7868.914761904763,54659.39654761904
운정4동,8510.975297619045,9692.71357142857,2734.987619047619,20938.676488095236
운정5동,20631.778988095237,5895.215,5274.945297619046,31801.939285714285
운정6동,7103.2152976190455,7964.039940476192,1791.5309523809526,16858.786190476192
월롱면,1004.332261904762,1155.6757738095237,1303.0788095238097,3463.086845238095
적성면,371.838630952381,281.92869047619047,261.54291666666666,915.3102380952379
조리읍,10300.591845238096,4171.193511904762,3585.99625,18057.781607142857
탄현면,1660.980535714286,2567.404285714286,2107.1448809523813,6335.529702380954
파주읍,3018.2241071428575,1873.9427380952384,1679.7772023809523,6571.944047619046
파평면,120.10196428571425,133.68714285714287,97.23148809523809,351.0205952380952
