행 레이블,합계(백만원)
광탄면,196.0309087
교하동,456.004025
금촌1동,289.3296235
금촌2동,180.2633213
금촌3동,66.73642697
문산읍,375.1840377
법원읍,62.7755602
운정1동,394.8372672
운정2동,277.7483127
운정3동,715.2272394
운정4동,159.8234896
운정5동,202.7369774
운정6동,53.67498433
월롱면,74.65466857
장단면,4.587918533
적성면,69.37587393
조리읍,125.6290038
탄현면,458.2166679
파주읍,64.19875767
파평면,28.8790038
