연도,월평균 매출건수(건),월평균 매출금액(백만원)
2021,939499.833333333,41886233750.0
2022,1075663.83333333,48755476833.3333
2023,1102014.58333333,50649766666.6666
2024,1046010.83333333,49046705166.6666
2025,1006149.14285714,48140449857.1428
