기간,기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
23.10~24.09,가평군,체험관광,3826503,2.5,1678,0.0
23.10~24.09,고양시 덕양구,기타관광,6291583,4.1,327438,5.2
23.10~24.09,고양시 덕양구,레저스포츠,6291583,4.1,457804,7.3
23.10~24.09,고양시 덕양구,문화관광,6291583,4.1,478017,7.6
23.10~24.09,고양시 덕양구,쇼핑,6291583,4.1,1497678,23.8
23.10~24.09,고양시 덕양구,숙박,6291583,4.1,96359,1.5
23.10~24.09,고양시 덕양구,역사관광,6291583,4.1,194964,3.1
23.10~24.09,고양시 덕양구,음식,6291583,4.1,3199443,50.9
23.10~24.09,고양시 덕양구,자연관광,6291583,4.1,7301,0.1
23.10~24.09,고양시 덕양구,체험관광,6291583,4.1,32579,0.5
23.10~24.09,고양시 일산동구,기타관광,4332043,2.8,100369,2.3
23.10~24.09,고양시 일산동구,레저스포츠,4332043,2.8,99899,2.3
23.10~24.09,고양시 일산동구,문화관광,4332043,2.8,642589,14.8
23.10~24.09,고양시 일산동구,쇼핑,4332043,2.8,655028,15.1
23.10~24.09,고양시 일산동구,숙박,4332043,2.8,173045,4.0
23.10~24.09,고양시 일산동구,역사관광,4332043,2.8,16961,0.4
23.10~24.09,고양시 일산동구,음식,4332043,2.8,2634549,60.8
23.10~24.09,고양시 일산동구,자연관광,4332043,2.8,1077,0.0
23.10~24.09,고양시 일산동구,체험관광,4332043,2.8,8526,0.2
23.10~24.09,고양시 일산서구,기타관광,3053941,2.0,65834,2.2
23.10~24.09,고양시 일산서구,레저스포츠,3053941,2.0,38471,1.3
23.10~24.09,고양시 일산서구,문화관광,3053941,2.0,1032949,33.8
23.10~24.09,고양시 일산서구,쇼핑,3053941,2.0,661596,21.7
23.10~24.09,고양시 일산서구,숙박,3053941,2.0,107614,3.5
23.10~24.09,고양시 일산서구,역사관광,3053941,2.0,243,0.0
23.10~24.09,고양시 일산서구,음식,3053941,2.0,1133374,37.1
23.10~24.09,고양시 일산서구,자연관광,3053941,2.0,2316,0.1
23.10~24.09,고양시 일산서구,체험관광,3053941,2.0,11544,0.4
23.10~24.09,과천시,기타관광,1571905,1.0,7932,0.5
23.10~24.09,과천시,레저스포츠,1571905,1.0,195880,12.5
23.10~24.09,과천시,문화관광,1571905,1.0,852545,54.2
23.10~24.09,과천시,쇼핑,1571905,1.0,10437,0.7
23.10~24.09,과천시,숙박,1571905,1.0,13718,0.9
23.10~24.09,과천시,역사관광,1571905,1.0,14283,0.9
23.10~24.09,과천시,음식,1571905,1.0,469773,29.9
23.10~24.09,과천시,자연관광,1571905,1.0,5315,0.3
23.10~24.09,과천시,체험관광,1571905,1.0,2022,0.1
23.10~24.09,광명시,기타관광,3537282,2.3,1543007,43.6
23.10~24.09,광명시,레저스포츠,3537282,2.3,108057,3.1
23.10~24.09,광명시,문화관광,3537282,2.3,139202,3.9
23.10~24.09,광명시,쇼핑,3537282,2.3,451455,12.8
23.10~24.09,광명시,숙박,3537282,2.3,107558,3.0
23.10~24.09,광명시,역사관광,3537282,2.3,5430,0.2
23.10~24.09,광명시,음식,3537282,2.3,1047654,29.6
23.10~24.09,광명시,자연관광,3537282,2.3,133835,3.8
23.10~24.09,광명시,체험관광,3537282,2.3,1084,0.0
23.10~24.09,광주시,기타관광,4103443,2.7,39664,1.0
23.10~24.09,광주시,레저스포츠,4103443,2.7,536398,13.1
23.10~24.09,광주시,문화관광,4103443,2.7,511283,12.5
23.10~24.09,광주시,쇼핑,4103443,2.7,52786,1.3
23.10~24.09,광주시,숙박,4103443,2.7,258222,6.3
23.10~24.09,광주시,역사관광,4103443,2.7,130517,3.2
23.10~24.09,광주시,음식,4103443,2.7,2513160,61.2
23.10~24.09,광주시,자연관광,4103443,2.7,53751,1.3
23.10~24.09,광주시,체험관광,4103443,2.7,7662,0.2
23.10~24.09,구리시,기타관광,2052369,1.3,11212,0.5
23.10~24.09,구리시,레저스포츠,2052369,1.3,69356,3.4
23.10~24.09,구리시,문화관광,2052369,1.3,241238,11.8
23.10~24.09,구리시,쇼핑,2052369,1.3,689995,33.6
