지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1002.0,2.85
41113,수원시 권선구,1181.0,2.79
41115,수원시 팔달구,673.0,2.53
41117,수원시 영통구,954.0,2.89
41131,성남시 수정구,1006.0,2.83
41133,성남시 중원구,1511.0,2.86
41135,성남시 분당구,964.0,2.96
41150,의정부시,1515.0,2.82
41171,안양시 만안구,1060.0,2.75
41173,안양시 동안구,1067.0,2.84
41190,부천시,1394.0,2.88
41210,광명시,800.0,2.79
41220,평택시,2574.0,2.97
41250,동두천시,1482.0,2.75
41271,안산시 상록구,1700.0,2.86
41273,안산시 단원구,1202.0,2.61
41281,고양시 덕양구,1119.0,2.9
41285,고양시 일산동구,919.0,2.84
41287,고양시 일산서구,988.0,2.81
41290,과천시,733.0,3.03
41310,구리시,781.0,2.82
41360,남양주시,1566.0,2.85
41370,오산시,1363.0,2.86
41390,시흥시,1476.0,2.81
41410,군포시,1339.0,2.88
41430,의왕시,688.0,2.79
41450,하남시,847.0,2.87
41461,용인시 처인구,1255.0,2.63
41463,용인시 기흥구,1194.0,2.95
41465,용인시 수지구,1457.0,2.96
41480,파주시,1390.0,2.79
41500,이천시,1274.0,2.76
41550,안성시,1096.0,2.76
41570,김포시,1527.0,2.9
41590,화성시,1695.0,2.82
41610,광주시,1568.0,2.82
41630,양주시,1387.0,2.81
41650,포천시,1426.0,2.54
41670,여주시,1262.0,2.67
41800,연천군,1534.0,2.6
41820,가평군,1483.0,2.26
41830,양평군,1310.0,2.46
