방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.2
60~69세,8.2,4.6
50~59세,13.2,7.9
40~49세,11.8,6.8
30~39세,10.6,6.9
20~29세,12.0,6.3
10~19세,2.7,2.2
0~9세,0.9,1.0
