소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.8
60대,6.3,3.6
50대,14.9,9.0
40대,16.6,9.9
30대,15.3,8.8
20대,8.0,5.0
10대,0.1,0.1
