업종중분류명,지역명,비율
음식,경기도 파주시,38.4
기타관광,경기도 파주시,17.5
쇼핑,경기도 파주시,16.9
문화관광,경기도 파주시,10.2
레저스포츠,경기도 파주시,9.7
숙박,경기도 파주시,3.9
역사관광,경기도 파주시,1.6
자연관광,경기도 파주시,1.4
체험관광,경기도 파주시,0.3
