소비자 연령,비율(남성),비율(여성)
80대,0.3,0.3
70대,1.2,0.9
60대,6.6,3.9
50대,14.4,9.3
40대,16.5,9.6
30대,15.7,9.3
20대,6.8,5.1
10대,0.1,0.1
