지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1029.0,3.04
41113,수원시 권선구,1208.0,2.97
41115,수원시 팔달구,706.0,2.7
41117,수원시 영통구,1035.0,3.07
41131,성남시 수정구,1070.0,2.98
41133,성남시 중원구,1285.0,2.89
41135,성남시 분당구,1009.0,3.13
41150,의정부시,1495.0,2.99
41171,안양시 만안구,1129.0,2.94
41173,안양시 동안구,1140.0,2.98
41190,부천시,1464.0,3.06
41210,광명시,826.0,2.98
41220,평택시,2339.0,3.1
41250,동두천시,1375.0,2.89
41271,안산시 상록구,1737.0,3.01
41273,안산시 단원구,1154.0,2.82
41281,고양시 덕양구,947.0,3.04
41285,고양시 일산동구,947.0,3.08
41287,고양시 일산서구,928.0,2.98
41290,과천시,710.0,3.09
41310,구리시,657.0,2.92
41360,남양주시,1233.0,2.97
41370,오산시,1447.0,3.02
41390,시흥시,1313.0,3.01
41410,군포시,1202.0,2.99
41430,의왕시,749.0,2.94
41450,하남시,716.0,2.99
41461,용인시 처인구,1167.0,2.86
41463,용인시 기흥구,1217.0,3.11
41465,용인시 수지구,1290.0,3.08
41480,파주시,1214.0,2.92
41500,이천시,1235.0,3.01
41550,안성시,1026.0,2.9
41570,김포시,1318.0,2.99
41590,화성시,1507.0,2.93
41610,광주시,1005.0,2.98
41630,양주시,1080.0,2.85
41650,포천시,1149.0,2.56
41670,여주시,977.0,2.74
41800,연천군,1206.0,2.62
41820,가평군,922.0,2.32
41830,양평군,763.0,2.49
