지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1017.0,2.99
41113,수원시 권선구,1144.0,2.92
41115,수원시 팔달구,650.0,2.63
41117,수원시 영통구,921.0,2.97
41131,성남시 수정구,909.0,2.92
41133,성남시 중원구,1080.0,2.76
41135,성남시 분당구,910.0,3.04
41150,의정부시,1453.0,2.95
41171,안양시 만안구,979.0,2.88
41173,안양시 동안구,1050.0,2.92
41190,부천시,1441.0,3.04
41210,광명시,951.0,2.95
41220,평택시,2175.0,3.06
41250,동두천시,1325.0,2.88
41271,안산시 상록구,1601.0,2.99
41273,안산시 단원구,1147.0,2.71
41281,고양시 덕양구,887.0,3.0
41285,고양시 일산동구,870.0,2.97
41287,고양시 일산서구,854.0,2.97
41290,과천시,617.0,2.87
41310,구리시,773.0,2.95
41360,남양주시,1188.0,2.92
41370,오산시,1266.0,2.95
41390,시흥시,1118.0,2.92
41410,군포시,1319.0,3.01
41430,의왕시,694.0,2.91
41450,하남시,743.0,2.96
41461,용인시 처인구,1241.0,2.78
41463,용인시 기흥구,1169.0,3.07
41465,용인시 수지구,1281.0,3.05
41480,파주시,1171.0,2.85
41500,이천시,1204.0,2.94
41550,안성시,1059.0,2.81
41570,김포시,1390.0,3.05
41590,화성시,1513.0,2.89
41610,광주시,1091.0,2.97
41630,양주시,1133.0,2.83
41650,포천시,1289.0,2.57
41670,여주시,1012.0,2.71
41800,연천군,1274.0,2.54
41820,가평군,962.0,2.22
41830,양평군,824.0,2.43
