업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,99,109,-9.2,23305,18654,24.9
레저스포츠,1006,855,17.7,23305,18654,24.9
문화관광,1236,1013,22.0,23305,18654,24.9
쇼핑,9011,7281,23.8,23305,18654,24.9
숙박,309,186,66.1,23305,18654,24.9
역사관광,786,636,23.6,23305,18654,24.9
음식,10806,8548,26.4,23305,18654,24.9
자연관광,6,4,50.0,23305,18654,24.9
체험관광,46,22,109.1,23305,18654,24.9
