소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.8
60대,6.2,3.3
50대,14.5,8.3
40대,16.7,9.7
30대,15.7,8.8
20대,8.2,5.8
10대,0.2,0.1
