업종중분류명,현지인 검색비율,외지인 검색비율
음식,47.2,35.5
기타관광,16.1,16.1
문화관광,12.0,13.3
쇼핑,11.9,18.4
레저스포츠,5.2,9.6
숙박,3.6,3.7
역사관광,2.2,1.8
자연관광,1.5,1.4
체험관광,0.3,0.2
