거리구분명,방문자수,방문자비율
30km 미만,1627038.0,42.11
30km 이상 70km 미만,1834063.0,47.47
70km 이상 140km 미만 ,195324.0,5.06
140km 이상 190km 미만,60578.0,1.57
190km 이상 240km 미만,31178.0,0.81
240km 이상 ,115283.0,2.98
