방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.5,2.4
60~69세,8.3,5.1
50~59세,13.1,8.1
40~49세,11.7,6.9
30~39세,10.6,7.3
20~29세,11.8,6.6
10~19세,2.5,1.9
0~9세,0.6,0.6
