국가명,비율(%)
중국,31.67
기타,23.35
인도네시아,8.55
필리핀,7.69
미국,6.23
일본,4.8
인도,3.17
베트남,2.54
독일,2.09
프랑스,1.89
태국,1.8
러시아,1.69
튀르키예,0.94
카자흐스탄,0.86
캐나다,0.57
멕시코,0.51
말레이시아,0.49
영국,0.4
몽골,0.34
대만,0.26
싱가포르,0.09
아랍에미리트,0.03
사우디아라비아,0.03
홍콩,0.03
