업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,40.0,1
음식,포레스트아웃팅스/일산,32.0,2
음식,가나안덕/일산본점,25.0,3
음식,맥도날드/중산DT점,25.0,4
음식,설문커피,24.0,5
음식,아소산/일산본점 [일식],15.0,6
음식,본갈비,14.0,7
음식,슈팅맨,13.0,8
음식,샛터농원,13.0,9
음식,쿠우쿠우/일산호수공원점,11.0,10
쇼핑,코스트코홀세일/일산점,150.0,1
쇼핑,라페스타,112.0,2
쇼핑,벨라시타,70.0,3
쇼핑,롯데백화점/일산점,41.0,4
쇼핑,뉴코아아울렛/일산점,40.0,5
쇼핑,이마트/풍산점,36.0,6
쇼핑,홈플러스/일산점,18.0,7
쇼핑,이마트/일산점,18.0,8
쇼핑,홈플러스/고양터미널점,16.0,9
쇼핑,롯데아울렛/고양터미널점,12.0,10
문화관광,일산호수공원,100.0,1
문화관광,CGV/일산,33.0,2
문화관광,롯데시네마/라페스타,11.0,3
문화관광,중산체육공원,10.0,4
문화관광,메가박스/백석,7.0,5
문화관광,일산풋볼파크,5.0,6
문화관광,능안공원,3.0,7
문화관광,고양아람누리,3.0,8
문화관광,모당공원,2.0,9
문화관광,HM풋살파크/홈플러스일산점,2.0,10
