유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,64.9,8.8
음식,외국식,64.9,9.0
음식,음식점기타,64.9,0.3
음식,전문음식,64.9,18.5
음식,카페/찻집,64.9,30.7
음식,한식,64.9,32.8
문화관광,복합관광시설,12.3,4.4
문화관광,테마공원,12.3,8.5
문화관광,전시시설,12.3,9.4
문화관광,레저스포츠시설,12.3,1.6
문화관광,랜드마크관광,12.3,2.2
문화관광,도시공원,12.3,30.8
문화관광,기타문화관광지,12.3,6.5
문화관광,공연시설,12.3,36.5
기타관광,기타관광,9.7,100.0
레저스포츠,육상레저스포츠,5.8,91.0
레저스포츠,수상레저스포츠,5.8,7.1
레저스포츠,기타레저스포츠,5.8,1.9
숙박,캠핑,3.3,28.0
숙박,호텔,3.3,38.6
숙박,콘도미니엄,3.3,1.6
숙박,모텔,3.3,31.8
역사관광,역사유물,1.4,2.3
역사관광,역사유적지,1.4,21.7
역사관광,종교성지,1.4,76.0
자연관광,자연경관(산),1.1,58.3
자연관광,자연경관(하천/해양),1.1,10.1
자연관광,자연공원,1.1,31.7
쇼핑,시장,1.0,46.1
쇼핑,쇼핑몰,1.0,19.9
쇼핑,기타쇼핑시설,1.0,34.0
체험관광,농/산/어촌체험,0.5,86.8
체험관광,웰니스관광,0.5,13.2
