소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.1,0.8
60대,5.7,3.8
50대,13.7,9.2
40대,16.8,10.2
30대,15.6,9.3
20대,7.8,5.3
10대,0.1,0.1
