지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,965.0,2.97
41113,수원시 권선구,1539.0,3.14
41115,수원시 팔달구,643.0,2.65
41117,수원시 영통구,944.0,2.98
41131,성남시 수정구,953.0,2.94
41133,성남시 중원구,1143.0,2.82
41135,성남시 분당구,948.0,3.08
41150,의정부시,1389.0,2.94
41171,안양시 만안구,985.0,2.85
41173,안양시 동안구,1037.0,2.91
41190,부천시,1336.0,3.0
41210,광명시,782.0,2.89
41220,평택시,2292.0,3.05
41250,동두천시,1416.0,2.88
41271,안산시 상록구,1637.0,2.94
41273,안산시 단원구,1119.0,2.76
41281,고양시 덕양구,913.0,2.97
41285,고양시 일산동구,878.0,2.99
41287,고양시 일산서구,864.0,2.96
41290,과천시,573.0,2.97
41310,구리시,608.0,2.87
41360,남양주시,1172.0,2.9
41370,오산시,1361.0,2.96
41390,시흥시,1091.0,2.88
41410,군포시,1333.0,3.03
41430,의왕시,576.0,2.85
41450,하남시,757.0,2.96
41461,용인시 처인구,1006.0,2.73
41463,용인시 기흥구,1026.0,3.0
41465,용인시 수지구,1251.0,3.02
41480,파주시,1153.0,2.85
41500,이천시,1280.0,3.02
41550,안성시,995.0,2.83
41570,김포시,1233.0,2.95
41590,화성시,1428.0,2.86
41610,광주시,923.0,2.87
41630,양주시,1038.0,2.79
41650,포천시,1099.0,2.49
41670,여주시,977.0,2.72
41800,연천군,1218.0,2.54
41820,가평군,872.0,2.27
41830,양평군,813.0,2.46
