SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1744","279","2023","20240515"
"1","2","여수여행","여행","국내여행","전라남도","1378","175","1553","20240515"
"2","3","제주여행","여행","국내여행","제주특별자치도","1118","222","1340","20240515"
"3","4","경주여행","여행","국내여행","경상북도","1107","179","1286","20240515"
"4","5","군산여행","여행","국내여행","전라북도","912","98","1010","20240515"
"5","6","강릉여행","여행","국내여행","강원도","829","152","981","20240515"
"6","7","전주여행","여행","국내여행","전라북도","758","119","877","20240515"
"7","8","속초여행","여행","국내여행","강원도","711","133","844","20240515"
"8","9","대전여행","여행","국내여행","대전광역시","658","107","765","20240515"
"9","10","대구여행","여행","국내여행","대구광역시","652","82","734","20240515"
