SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1718","684","2402","20240712"
"1","2","여수여행","여행","국내여행","전라남도","1322","476","1798","20240712"
"2","3","강릉여행","여행","국내여행","강원도","864","413","1277","20240712"
"3","4","경주여행","여행","국내여행","경상북도","818","435","1253","20240712"
"4","5","제주여행","여행","국내여행","제주특별자치도","900","343","1243","20240712"
"5","6","속초여행","여행","국내여행","강원도","870","368","1238","20240712"
"6","7","군산여행","여행","국내여행","전라북도","844","270","1114","20240712"
"7","8","대전여행","여행","국내여행","대전광역시","593","189","782","20240712"
"8","9","전주여행","여행","국내여행","전라북도","547","179","726","20240712"
"9","10","목포여행","여행","국내여행","전라남도","455","173","628","20240712"
