SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","948","511","1459","20250411"
"1","2","경주여행","여행","국내여행","경상북도","751","434","1185","20250411"
"2","3","제주여행","여행","국내여행","제주특별자치도","725","324","1049","20250411"
"3","4","군산여행","여행","국내여행","전라북도","704","260","964","20250411"
"4","5","전주여행","여행","국내여행","전라북도","594","297","891","20250411"
"5","6","강릉여행","여행","국내여행","강원도","536","271","807","20250411"
"6","7","여수여행","여행","국내여행","전라남도","539","266","805","20250411"
"7","8","목포여행","여행","국내여행","전라남도","458","239","697","20250411"
"8","9","속초여행","여행","국내여행","강원도","407","215","622","20250411"
"9","10","대전여행","여행","국내여행","대전광역시","421","157","578","20250411"
