SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1350","523","1873","20241206"
"1","2","제주여행","여행","국내여행","제주특별자치도","698","233","931","20241206"
"2","3","경주여행","여행","국내여행","경상북도","620","224","844","20241206"
"3","4","강릉여행","여행","국내여행","강원도","569","273","842","20241206"
"4","5","군산여행","여행","국내여행","전라북도","602","184","786","20241206"
"5","6","여수여행","여행","국내여행","전라남도","546","232","778","20241206"
"6","7","속초여행","여행","국내여행","강원도","499","215","714","20241206"
"7","8","전주여행","여행","국내여행","전라북도","400","132","532","20241206"
"8","9","대전여행","여행","국내여행","대전광역시","362","134","496","20241206"
"9","10","대구여행","여행","국내여행","대구광역시","349","144","493","20241206"
