SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1297","216","1513","20241027"
"1","2","경주여행","여행","국내여행","경상북도","1081","193","1274","20241027"
"2","3","제주여행","여행","국내여행","제주특별자치도","994","128","1122","20241027"
"3","4","군산여행","여행","국내여행","전라북도","991","89","1080","20241027"
"4","5","여수여행","여행","국내여행","전라남도","918","134","1052","20241027"
"5","6","전주여행","여행","국내여행","전라북도","668","95","763","20241027"
"6","7","강릉여행","여행","국내여행","강원도","613","109","722","20241027"
"7","8","대구여행","여행","국내여행","대구광역시","610","69","679","20241027"
"8","9","속초여행","여행","국내여행","강원도","553","102","655","20241027"
"9","10","대전여행","여행","국내여행","대전광역시","504","89","593","20241027"
