SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1595","184","1779","20240915"
"1","2","경주여행","여행","국내여행","경상북도","1408","152","1560","20240915"
"2","3","군산여행","여행","국내여행","전라북도","1227","95","1322","20240915"
"3","4","여수여행","여행","국내여행","전라남도","1186","114","1300","20240915"
"4","5","제주여행","여행","국내여행","제주특별자치도","816","129","945","20240915"
"5","6","강릉여행","여행","국내여행","강원도","827","104","931","20240915"
"6","7","속초여행","여행","국내여행","강원도","789","89","878","20240915"
"7","8","전주여행","여행","국내여행","전라북도","729","66","795","20240915"
"8","9","목포여행","여행","국내여행","전라남도","676","58","734","20240915"
"9","10","통영여행","여행","국내여행","경상남도","636","73","709","20240915"
