SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1954","677","2631","20250502"
"1","2","군산여행","여행","국내여행","전라북도","1533","468","2001","20250502"
"2","3","경주여행","여행","국내여행","경상북도","1219","515","1734","20250502"
"3","4","전주여행","여행","국내여행","전라북도","986","373","1359","20250502"
"4","5","여수여행","여행","국내여행","전라남도","993","339","1332","20250502"
"5","6","강릉여행","여행","국내여행","강원도","948","367","1315","20250502"
"6","7","속초여행","여행","국내여행","강원도","963","332","1295","20250502"
"7","8","목포여행","여행","국내여행","전라남도","845","326","1171","20250502"
"8","9","대구여행","여행","국내여행","대구광역시","809","288","1097","20250502"
"9","10","대전여행","여행","국내여행","대전광역시","771","245","1016","20250502"
