SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1550","649","2199","20250106"
"1","2","제주여행","여행","국내여행","제주특별자치도","1000","341","1341","20250106"
"2","3","강릉여행","여행","국내여행","강원도","896","374","1270","20250106"
"3","4","경주여행","여행","국내여행","경상북도","809","334","1143","20250106"
"4","5","군산여행","여행","국내여행","전라북도","746","228","974","20250106"
"5","6","여수여행","여행","국내여행","전라남도","620","255","875","20250106"
"6","7","속초여행","여행","국내여행","강원도","568","207","775","20250106"
"7","8","전주여행","여행","국내여행","전라북도","525","220","745","20250106"
"8","9","대전여행","여행","국내여행","대전광역시","515","185","700","20250106"
"9","10","대구여행","여행","국내여행","대구광역시","443","158","601","20250106"
