SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","992","536","1528","20250612"
"1","2","제주여행","여행","국내여행","제주특별자치도","756","519","1275","20250612"
"2","3","여수여행","여행","국내여행","전라남도","586","304","890","20250612"
"3","4","강릉여행","여행","국내여행","강원도","581","292","873","20250612"
"4","5","경주여행","여행","국내여행","경상북도","551","319","870","20250612"
"5","6","군산여행","여행","국내여행","전라북도","557","232","789","20250612"
"6","7","속초여행","여행","국내여행","강원도","426","290","716","20250612"
"7","8","전주여행","여행","국내여행","전라북도","387","179","566","20250612"
"8","9","대전여행","여행","국내여행","대전광역시","389","169","558","20250612"
"9","10","목포여행","여행","국내여행","전라남도","301","177","478","20250612"
