SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","군산여행","여행","국내여행","전라북도","2175","163","2338","20250504"
"1","2","부산여행","여행","국내여행","부산광역시","2076","177","2253","20250504"
"2","3","경주여행","여행","국내여행","경상북도","1338","151","1489","20250504"
"3","4","전주여행","여행","국내여행","전라북도","1116","115","1231","20250504"
"4","5","강릉여행","여행","국내여행","강원도","1109","104","1213","20250504"
"5","6","여수여행","여행","국내여행","전라남도","1060","119","1179","20250504"
"6","7","속초여행","여행","국내여행","강원도","1036","114","1150","20250504"
"7","8","목포여행","여행","국내여행","전라남도","938","89","1027","20250504"
"8","9","대구여행","여행","국내여행","대구광역시","940","84","1024","20250504"
"9","10","대전여행","여행","국내여행","대전광역시","869","120","989","20250504"
