SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1893","524","2417","20250501"
"1","2","군산여행","여행","국내여행","전라북도","1434","215","1649","20250501"
"2","3","경주여행","여행","국내여행","경상북도","1174","283","1457","20250501"
"3","4","강릉여행","여행","국내여행","강원도","964","228","1192","20250501"
"4","5","여수여행","여행","국내여행","전라남도","1004","187","1191","20250501"
"5","6","전주여행","여행","국내여행","전라북도","951","195","1146","20250501"
"6","7","속초여행","여행","국내여행","강원도","812","215","1027","20250501"
"7","8","목포여행","여행","국내여행","전라남도","821","169","990","20250501"
"8","9","제주여행","여행","국내여행","제주특별자치도","783","188","971","20250501"
"9","10","대전여행","여행","국내여행","대전광역시","794","158","952","20250501"
