SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1622","713","2335","20240513"
"1","2","여수여행","여행","국내여행","전라남도","1312","534","1846","20240513"
"2","3","경주여행","여행","국내여행","경상북도","1106","552","1658","20240513"
"3","4","제주여행","여행","국내여행","제주특별자치도","1100","425","1525","20240513"
"4","5","군산여행","여행","국내여행","전라북도","932","300","1232","20240513"
"5","6","강릉여행","여행","국내여행","강원도","793","415","1208","20240513"
"6","7","전주여행","여행","국내여행","전라북도","738","322","1060","20240513"
"7","8","속초여행","여행","국내여행","강원도","636","330","966","20240513"
"8","9","대전여행","여행","국내여행","대전광역시","612","209","821","20240513"
"9","10","목포여행","여행","국내여행","전라남도","556","235","791","20240513"
