SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1201","163","1364","20250621"
"1","2","제주여행","여행","국내여행","제주특별자치도","775","392","1167","20250621"
"2","3","강릉여행","여행","국내여행","강원도","705","115","820","20250621"
"3","4","군산여행","여행","국내여행","전라북도","745","73","818","20250621"
"4","5","여수여행","여행","국내여행","전라남도","636","126","762","20250621"
"5","6","경주여행","여행","국내여행","경상북도","586","106","692","20250621"
"6","7","속초여행","여행","국내여행","강원도","575","94","669","20250621"
"7","8","대전여행","여행","국내여행","대전광역시","437","71","508","20250621"
"8","9","전주여행","여행","국내여행","전라북도","426","76","502","20250621"
"9","10","목포여행","여행","국내여행","전라남도","403","79","482","20250621"
