SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2298","826","3124","20240228"
"1","2","여수여행","여행","국내여행","전라남도","1562","530","2092","20240228"
"2","3","군산여행","여행","국내여행","전라북도","1494","502","1996","20240228"
"3","4","경주여행","여행","국내여행","경상북도","1183","549","1732","20240228"
"4","5","제주여행","여행","국내여행","제주특별자치도","1184","468","1652","20240228"
"5","6","강릉여행","여행","국내여행","강원도","1103","422","1525","20240228"
"6","7","전주여행","여행","국내여행","전라북도","1015","384","1399","20240228"
"7","8","속초여행","여행","국내여행","강원도","916","339","1255","20240228"
"8","9","대구여행","여행","국내여행","대구광역시","782","360","1142","20240228"
"9","10","목포여행","여행","국내여행","전라남도","764","294","1058","20240228"
