SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1631","228","1859","20240629"
"1","2","여수여행","여행","국내여행","전라남도","1148","136","1284","20240629"
"2","3","제주여행","여행","국내여행","제주특별자치도","949","156","1105","20240629"
"3","4","강릉여행","여행","국내여행","강원도","860","140","1000","20240629"
"4","5","경주여행","여행","국내여행","경상북도","772","143","915","20240629"
"5","6","속초여행","여행","국내여행","강원도","762","107","869","20240629"
"6","7","군산여행","여행","국내여행","전라북도","741","87","828","20240629"
"7","8","대전여행","여행","국내여행","대전광역시","602","90","692","20240629"
"8","9","전주여행","여행","국내여행","전라북도","483","73","556","20240629"
"9","10","남해여행","여행","국내여행","경상남도","410","74","484","20240629"
