SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1559","214","1773","20250426"
"1","2","군산여행","여행","국내여행","전라북도","1183","119","1302","20250426"
"2","3","경주여행","여행","국내여행","경상북도","931","179","1110","20250426"
"3","4","여수여행","여행","국내여행","전라남도","791","146","937","20250426"
"4","5","강릉여행","여행","국내여행","강원도","770","140","910","20250426"
"5","6","제주여행","여행","국내여행","제주특별자치도","780","128","908","20250426"
"6","7","전주여행","여행","국내여행","전라북도","737","120","857","20250426"
"7","8","속초여행","여행","국내여행","강원도","575","119","694","20250426"
"8","9","대전여행","여행","국내여행","대전광역시","609","81","690","20250426"
"9","10","대구여행","여행","국내여행","대구광역시","589","101","690","20250426"
