SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1130","705","1835","20250519"
"1","2","경주여행","여행","국내여행","경상북도","730","422","1152","20250519"
"2","3","제주여행","여행","국내여행","제주특별자치도","822","306","1128","20250519"
"3","4","군산여행","여행","국내여행","전라북도","772","290","1062","20250519"
"4","5","강릉여행","여행","국내여행","강원도","655","364","1019","20250519"
"5","6","전주여행","여행","국내여행","전라북도","619","285","904","20250519"
"6","7","여수여행","여행","국내여행","전라남도","562","329","891","20250519"
"7","8","속초여행","여행","국내여행","강원도","476","272","748","20250519"
"8","9","대전여행","여행","국내여행","대전광역시","429","255","684","20250519"
"9","10","목포여행","여행","국내여행","전라남도","439","236","675","20250519"
