SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1262","680","1942","20250702"
"1","2","제주여행","여행","국내여행","제주특별자치도","860","640","1500","20250702"
"2","3","군산여행","여행","국내여행","전라북도","912","299","1211","20250702"
"3","4","강릉여행","여행","국내여행","강원도","711","471","1182","20250702"
"4","5","여수여행","여행","국내여행","전라남도","692","457","1149","20250702"
"5","6","경주여행","여행","국내여행","경상북도","609","328","937","20250702"
"6","7","속초여행","여행","국내여행","강원도","573","331","904","20250702"
"7","8","대전여행","여행","국내여행","대전광역시","467","217","684","20250702"
"8","9","목포여행","여행","국내여행","전라남도","428","251","679","20250702"
"9","10","통영여행","여행","국내여행","경상남도","442","202","644","20250702"
