SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1387","239","1626","20240922"
"1","2","경주여행","여행","국내여행","경상북도","1377","179","1556","20240922"
"2","3","제주여행","여행","국내여행","제주특별자치도","1050","153","1203","20240922"
"3","4","군산여행","여행","국내여행","전라북도","980","101","1081","20240922"
"4","5","여수여행","여행","국내여행","전라남도","782","142","924","20240922"
"5","6","전주여행","여행","국내여행","전라북도","769","106","875","20240922"
"6","7","강릉여행","여행","국내여행","강원도","715","147","862","20240922"
"7","8","속초여행","여행","국내여행","강원도","586","124","710","20240922"
"8","9","대전여행","여행","국내여행","대전광역시","596","71","667","20240922"
"9","10","대구여행","여행","국내여행","대구광역시","549","80","629","20240922"
