SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1655","664","2319","20250221"
"1","2","군산여행","여행","국내여행","전라북도","1231","355","1586","20250221"
"2","3","경주여행","여행","국내여행","경상북도","912","414","1326","20250221"
"3","4","강릉여행","여행","국내여행","강원도","848","401","1249","20250221"
"4","5","제주여행","여행","국내여행","제주특별자치도","875","297","1172","20250221"
"5","6","여수여행","여행","국내여행","전라남도","773","331","1104","20250221"
"6","7","전주여행","여행","국내여행","전라북도","742","325","1067","20250221"
"7","8","대전여행","여행","국내여행","대전광역시","708","303","1011","20250221"
"8","9","속초여행","여행","국내여행","강원도","740","261","1001","20250221"
"9","10","대구여행","여행","국내여행","대구광역시","576","208","784","20250221"
