SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1309","547","1856","20241104"
"1","2","경주여행","여행","국내여행","경상북도","1036","453","1489","20241104"
"2","3","속초여행","여행","국내여행","강원도","907","312","1219","20241104"
"3","4","제주여행","여행","국내여행","제주특별자치도","835","364","1199","20241104"
"4","5","군산여행","여행","국내여행","전라북도","837","300","1137","20241104"
"5","6","여수여행","여행","국내여행","전라남도","751","284","1035","20241104"
"6","7","전주여행","여행","국내여행","전라북도","675","279","954","20241104"
"7","8","강릉여행","여행","국내여행","강원도","652","292","944","20241104"
"8","9","대전여행","여행","국내여행","대전광역시","504","164","668","20241104"
"9","10","대구여행","여행","국내여행","대구광역시","425","211","636","20241104"
