SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1981","971","2952","20240716"
"1","2","여수여행","여행","국내여행","전라남도","1402","689","2091","20240716"
"2","3","제주여행","여행","국내여행","제주특별자치도","1045","540","1585","20240716"
"3","4","경주여행","여행","국내여행","경상북도","960","554","1514","20240716"
"4","5","강릉여행","여행","국내여행","강원도","850","513","1363","20240716"
"5","6","속초여행","여행","국내여행","강원도","806","468","1274","20240716"
"6","7","군산여행","여행","국내여행","전라북도","821","338","1159","20240716"
"7","8","목포여행","여행","국내여행","전라남도","604","282","886","20240716"
"8","9","대전여행","여행","국내여행","대전광역시","621","233","854","20240716"
"9","10","남해여행","여행","국내여행","경상남도","535","298","833","20240716"
