SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2216","892","3108","20240220"
"1","2","제주여행","여행","국내여행","제주특별자치도","1826","585","2411","20240220"
"2","3","여수여행","여행","국내여행","전라남도","1272","543","1815","20240220"
"3","4","경주여행","여행","국내여행","경상북도","1192","553","1745","20240220"
"4","5","군산여행","여행","국내여행","전라북도","1165","398","1563","20240220"
"5","6","강릉여행","여행","국내여행","강원도","950","423","1373","20240220"
"6","7","전주여행","여행","국내여행","전라북도","850","358","1208","20240220"
"7","8","속초여행","여행","국내여행","강원도","703","286","989","20240220"
"8","9","대구여행","여행","국내여행","대구광역시","604","326","930","20240220"
"9","10","목포여행","여행","국내여행","전라남도","611","282","893","20240220"
