SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1989","748","2737","20240118"
"1","2","제주여행","여행","국내여행","제주특별자치도","1489","367","1856","20240118"
"2","3","여수여행","여행","국내여행","전라남도","1132","276","1408","20240118"
"3","4","경주여행","여행","국내여행","경상북도","923","348","1271","20240118"
"4","5","강릉여행","여행","국내여행","강원도","911","348","1259","20240118"
"5","6","군산여행","여행","국내여행","전라북도","886","228","1114","20240118"
"6","7","전주여행","여행","국내여행","전라북도","728","208","936","20240118"
"7","8","대전여행","여행","국내여행","대전광역시","579","194","773","20240118"
"8","9","대구여행","여행","국내여행","대구광역시","554","198","752","20240118"
"9","10","속초여행","여행","국내여행","강원도","532","214","746","20240118"
