SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1005","543","1548","20250331"
"1","2","제주여행","여행","국내여행","제주특별자치도","988","411","1399","20250331"
"2","3","경주여행","여행","국내여행","경상북도","870","500","1370","20250331"
"3","4","군산여행","여행","국내여행","전라북도","753","319","1072","20250331"
"4","5","여수여행","여행","국내여행","전라남도","579","286","865","20250331"
"5","6","강릉여행","여행","국내여행","강원도","510","324","834","20250331"
"6","7","목포여행","여행","국내여행","전라남도","532","292","824","20250331"
"7","8","전주여행","여행","국내여행","전라북도","501","256","757","20250331"
"8","9","대전여행","여행","국내여행","대전광역시","468","206","674","20250331"
"9","10","대구여행","여행","국내여행","대구광역시","387","181","568","20250331"
