SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1926","300","2226","20240506"
"1","2","여수여행","여행","국내여행","전라남도","1413","144","1557","20240506"
"2","3","제주여행","여행","국내여행","제주특별자치도","1206","159","1365","20240506"
"3","4","경주여행","여행","국내여행","경상북도","1143","180","1323","20240506"
"4","5","군산여행","여행","국내여행","전라북도","887","120","1007","20240506"
"5","6","강릉여행","여행","국내여행","강원도","761","135","896","20240506"
"6","7","전주여행","여행","국내여행","전라북도","780","105","885","20240506"
"7","8","대전여행","여행","국내여행","대전광역시","652","110","762","20240506"
"8","9","대구여행","여행","국내여행","대구광역시","647","97","744","20240506"
"9","10","속초여행","여행","국내여행","강원도","614","88","702","20240506"
