SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1237","568","1805","20240910"
"1","2","경주여행","여행","국내여행","경상북도","1021","520","1541","20240910"
"2","3","제주여행","여행","국내여행","제주특별자치도","877","376","1253","20240910"
"3","4","여수여행","여행","국내여행","전라남도","765","370","1135","20240910"
"4","5","군산여행","여행","국내여행","전라북도","689","283","972","20240910"
"5","6","강릉여행","여행","국내여행","강원도","581","301","882","20240910"
"6","7","전주여행","여행","국내여행","전라북도","546","218","764","20240910"
"7","8","속초여행","여행","국내여행","강원도","513","180","693","20240910"
"8","9","남해여행","여행","국내여행","경상남도","462","189","651","20240910"
"9","10","목포여행","여행","국내여행","전라남도","417","189","606","20240910"
