SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1241","433","1674","20241129"
"1","2","제주여행","여행","국내여행","제주특별자치도","702","245","947","20241129"
"2","3","여수여행","여행","국내여행","전라남도","654","143","797","20241129"
"3","4","경주여행","여행","국내여행","경상북도","575","202","777","20241129"
"4","5","속초여행","여행","국내여행","강원도","458","226","684","20241129"
"5","6","군산여행","여행","국내여행","전라북도","518","144","662","20241129"
"6","7","강릉여행","여행","국내여행","강원도","469","189","658","20241129"
"7","8","전주여행","여행","국내여행","전라북도","351","163","514","20241129"
"8","9","대구여행","여행","국내여행","대구광역시","347","121","468","20241129"
"9","10","목포여행","여행","국내여행","전라남도","356","110","466","20241129"
