SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1284","200","1484","20241103"
"1","2","경주여행","여행","국내여행","경상북도","1122","142","1264","20241103"
"2","3","군산여행","여행","국내여행","전라북도","1108","101","1209","20241103"
"3","4","제주여행","여행","국내여행","제주특별자치도","923","183","1106","20241103"
"4","5","속초여행","여행","국내여행","강원도","767","101","868","20241103"
"5","6","여수여행","여행","국내여행","전라남도","751","98","849","20241103"
"6","7","전주여행","여행","국내여행","전라북도","693","81","774","20241103"
"7","8","강릉여행","여행","국내여행","강원도","637","116","753","20241103"
"8","9","대구여행","여행","국내여행","대구광역시","518","70","588","20241103"
"9","10","대전여행","여행","국내여행","대전광역시","508","61","569","20241103"
