SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1072","500","1572","20241008"
"1","2","경주여행","여행","국내여행","경상북도","981","566","1547","20241008"
"2","3","제주여행","여행","국내여행","제주특별자치도","817","319","1136","20241008"
"3","4","군산여행","여행","국내여행","전라북도","812","239","1051","20241008"
"4","5","여수여행","여행","국내여행","전라남도","683","245","928","20241008"
"5","6","강릉여행","여행","국내여행","강원도","569","217","786","20241008"
"6","7","전주여행","여행","국내여행","전라북도","515","231","746","20241008"
"7","8","대전여행","여행","국내여행","대전광역시","503","236","739","20241008"
"8","9","속초여행","여행","국내여행","강원도","504","182","686","20241008"
"9","10","대구여행","여행","국내여행","대구광역시","424","160","584","20241008"
