SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1229","627","1856","20250626"
"1","2","제주여행","여행","국내여행","제주특별자치도","773","647","1420","20250626"
"2","3","여수여행","여행","국내여행","전라남도","712","390","1102","20250626"
"3","4","강릉여행","여행","국내여행","강원도","671","370","1041","20250626"
"4","5","경주여행","여행","국내여행","경상북도","628","339","967","20250626"
"5","6","군산여행","여행","국내여행","전라북도","640","257","897","20250626"
"6","7","속초여행","여행","국내여행","강원도","517","283","800","20250626"
"7","8","목포여행","여행","국내여행","전라남도","480","238","718","20250626"
"8","9","대전여행","여행","국내여행","대전광역시","457","219","676","20250626"
"9","10","전주여행","여행","국내여행","전라북도","436","195","631","20250626"
