SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1055","521","1576","20250507"
"1","2","경주여행","여행","국내여행","경상북도","816","367","1183","20250507"
"2","3","제주여행","여행","국내여행","제주특별자치도","691","339","1030","20250507"
"3","4","군산여행","여행","국내여행","전라북도","735","228","963","20250507"
"4","5","강릉여행","여행","국내여행","강원도","571","327","898","20250507"
"5","6","여수여행","여행","국내여행","전라남도","517","358","875","20250507"
"6","7","전주여행","여행","국내여행","전라북도","543","245","788","20250507"
"7","8","목포여행","여행","국내여행","전라남도","485","286","771","20250507"
"8","9","속초여행","여행","국내여행","강원도","430","225","655","20250507"
"9","10","대전여행","여행","국내여행","대전광역시","403","211","614","20250507"
