SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1741","887","2628","20240429"
"1","2","여수여행","여행","국내여행","전라남도","1322","509","1831","20240429"
"2","3","경주여행","여행","국내여행","경상북도","1242","585","1827","20240429"
"3","4","제주여행","여행","국내여행","제주특별자치도","1151","398","1549","20240429"
"4","5","군산여행","여행","국내여행","전라북도","1060","324","1384","20240429"
"5","6","강릉여행","여행","국내여행","강원도","900","462","1362","20240429"
"6","7","전주여행","여행","국내여행","전라북도","845","376","1221","20240429"
"7","8","속초여행","여행","국내여행","강원도","696","342","1038","20240429"
"8","9","대전여행","여행","국내여행","대전광역시","681","291","972","20240429"
"9","10","목포여행","여행","국내여행","전라남도","662","309","971","20240429"
