SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2565","373","2938","20240225"
"1","2","제주여행","여행","국내여행","제주특별자치도","1696","236","1932","20240225"
"2","3","여수여행","여행","국내여행","전라남도","1739","180","1919","20240225"
"3","4","군산여행","여행","국내여행","전라북도","1609","151","1760","20240225"
"4","5","경주여행","여행","국내여행","경상북도","1526","218","1744","20240225"
"5","6","강릉여행","여행","국내여행","강원도","1212","154","1366","20240225"
"6","7","전주여행","여행","국내여행","전라북도","1130","123","1253","20240225"
"7","8","속초여행","여행","국내여행","강원도","961","147","1108","20240225"
"8","9","대구여행","여행","국내여행","대구광역시","881","192","1073","20240225"
"9","10","목포여행","여행","국내여행","전라남도","847","106","953","20240225"
