SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1536","531","2067","20240412"
"1","2","경주여행","여행","국내여행","경상북도","1125","511","1636","20240412"
"2","3","여수여행","여행","국내여행","전라남도","1128","437","1565","20240412"
"3","4","제주여행","여행","국내여행","제주특별자치도","1070","371","1441","20240412"
"4","5","군산여행","여행","국내여행","전라북도","966","271","1237","20240412"
"5","6","전주여행","여행","국내여행","전라북도","748","306","1054","20240412"
"6","7","강릉여행","여행","국내여행","강원도","679","285","964","20240412"
"7","8","목포여행","여행","국내여행","전라남도","579","196","775","20240412"
"8","9","속초여행","여행","국내여행","강원도","566","203","769","20240412"
"9","10","대구여행","여행","국내여행","대구광역시","525","215","740","20240412"
