SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2142","886","3028","20240221"
"1","2","제주여행","여행","국내여행","제주특별자치도","1655","604","2259","20240221"
"2","3","여수여행","여행","국내여행","전라남도","1380","432","1812","20240221"
"3","4","경주여행","여행","국내여행","경상북도","1142","499","1641","20240221"
"4","5","군산여행","여행","국내여행","전라북도","1147","358","1505","20240221"
"5","6","강릉여행","여행","국내여행","강원도","909","405","1314","20240221"
"6","7","전주여행","여행","국내여행","전라북도","781","362","1143","20240221"
"7","8","대구여행","여행","국내여행","대구광역시","606","315","921","20240221"
"8","9","목포여행","여행","국내여행","전라남도","628","256","884","20240221"
"9","10","속초여행","여행","국내여행","강원도","619","246","865","20240221"
