SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2054","738","2792","20240116"
"1","2","제주여행","여행","국내여행","제주특별자치도","1563","472","2035","20240116"
"2","3","여수여행","여행","국내여행","전라남도","1233","317","1550","20240116"
"3","4","경주여행","여행","국내여행","경상북도","1058","388","1446","20240116"
"4","5","강릉여행","여행","국내여행","강원도","870","270","1140","20240116"
"5","6","군산여행","여행","국내여행","전라북도","844","244","1088","20240116"
"6","7","전주여행","여행","국내여행","전라북도","751","242","993","20240116"
"7","8","속초여행","여행","국내여행","강원도","615","220","835","20240116"
"8","9","대구여행","여행","국내여행","대구광역시","623","195","818","20240116"
"9","10","대전여행","여행","국내여행","대전광역시","548","237","785","20240116"
