SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1893","645","2538","20240126"
"1","2","제주여행","여행","국내여행","제주특별자치도","1292","387","1679","20240126"
"2","3","여수여행","여행","국내여행","전라남도","1070","303","1373","20240126"
"3","4","강릉여행","여행","국내여행","강원도","942","320","1262","20240126"
"4","5","경주여행","여행","국내여행","경상북도","872","348","1220","20240126"
"5","6","군산여행","여행","국내여행","전라북도","972","214","1186","20240126"
"6","7","전주여행","여행","국내여행","전라북도","693","220","913","20240126"
"7","8","속초여행","여행","국내여행","강원도","653","219","872","20240126"
"8","9","대전여행","여행","국내여행","대전광역시","606","159","765","20240126"
"9","10","대구여행","여행","국내여행","대구광역시","542","194","736","20240126"
